No,prefecture,latitude,longtitude,altitude,latitude_capital,longtitude_capital
1,山梨県,138:36:31,35:36:56,3776m,138:34:06,35:39:50
2,静岡県,138:19:37,35:01:13,3776m,138:22:59,34:58:37
3,長野県,138:02:27,36:07:59,3190m,138:10:52,36:39:05
4,岐阜県,137:03:07,35:46:50,3190m,136:43:20,35:23:28
5,富山県,137:15:54,36:38:21,3015m,137:12:41,36:41:43
6,新潟県,138:54:50,37:31:19,2766m,139:01:25,37:54:08
7,石川県,136:46:06,36:46:08,2702m,136:37:32,36:35:40
8,栃木県,139:48:57,36:41:32,2578m,139:53:01,36:33:57
9,群馬県,138:58:56,36:30:25,2578m,139:03:39,36:23:28
10,埼玉県,139:20:40,35:59:59,2483m,139:38:56,35:51:25
11,福島県,140:13:19,37:22:55,2356m,140:28:04,37:45:00
12,北海道,142:49:26,43:28:11,2291m,141:20:49,43:03:51
13,山形県,140:05:58,38:26:58,2236m,140:21:48,38:14:26
14,福井県,136:13:28,35:50:59,2095m,136:13:19,36:03:55
15,岩手県,141:21:32,39:35:39,2038m,141:09:09,39:42:13
16,東京都,139:35:44,35:01:18,2017m,139:41:30,35:41:22
17,愛媛県,132:51:12,33:37:31,1982m,132:45:58,33:50:30
18,徳島県,134:14:25,33:55:17,1955m,134:33:34,34:03:57
19,鹿児島県,130:25:19,31:00:59,1936m,130:33:29,31:33:37
20,奈良県,135:52:07,34:19:08,1915m,135:49:58,34:41:07
21,高知県,133:21:51,33:25:28,1893m,133:31:52,33:33:35
22,宮城県,140:55:29,38:26:55,1825m,140:52:19,38:16:08
23,大分県,131:25:54,33:12:09,1791m,131:36:45,33:14:17
24,秋田県,140:24:19,39:45:01,1775m,140:06:09,39:43:07
25,宮崎県,131:17:53,32:11:39,1756m,131:25:26,31:54:40
26,熊本県,130:45:15,32:37:06,1739m,130:44:30,32:47:23
27,鳥取県,133:50:56,35:21:49,1729m,134:14:18,35:30:13
28,三重県,136:22:43,34:31:01,1695m,136:30:31,34:43:49
29,神奈川県,139:20:14,35:25:03,1673m,139:38:33,35:26:52
30,青森県,140:49:42,40:46:59,1625m,140:44:24,40:49:28
31,兵庫県,134:49:33,35:02:25,1510m,135:10:59,34:41:29
32,長崎県,129:36:43,33:13:51,1483m,129:52:25,32:44:41
33,愛知県,137:12:43,35:02:16,1415m,136:54:24,35:10:49
34,和歌山県,135:30:38,33:54:46,1382m,135:10:03,34:13:34
35,滋賀県,136:08:07,35:13:07,1377m,135:52:06,35:00:16
36,島根県,132:33:25,35:04:34,1346m,133:03:02,35:28:20
37,広島県,132:47:06,34:36:25,1346m,132:27:34,34:23:47
38,岡山県,133:48:45,34:54:15,1344m,133:56:06,34:39:42
39,山口県,131:34:21,34:12:07,1337m,131:28:17,34:11:09
40,福岡県,130:39:57,33:31:33,1230m,130:25:05,33:36:23
41,佐賀県,130:06:53,33:17:19,1076m,130:17:56,33:14:58
42,香川県,133:59:38,34:14:47,1060m,134:02:36,34:20:25
43,大阪府,135:30:30,34:37:34,1056m,135:31:12,34:41:11
44,茨城県,140:18:55,36:18:34,1022m,140:26:48,36:20:29
45,京都府,135:26:35,35:15:19,972m,135:45:20,35:01:17
46,沖縄県,126:38:17,25:46:31,526m,127:40:52,26:12:45
47,千葉県,140:12:02,35:30:58,408m,140:07:24,35:36:17
