date,open,high,low,close
2017/12/13,22879.27,22879.37,22697.32,22758.07
2017/12/12,22936.41,22994.33,22834.89,22866.17
2017/12/11,22894.3,22938.73,22787.4,22938.73
2017/12/8,22627.95,22819.71,22625.41,22811.08
2017/12/7,22317.15,22515.24,22317.15,22498.03
2017/12/6,22525.38,22528.21,22119.21,22177.04
2017/12/5,22595.33,22682.71,22522.28,22622.38
2017/12/4,22843.53,22864.33,22693.99,22707.16
2017/12/1,22916.93,22994.31,22675.07,22819.03
2017/11/30,22601.83,22748.32,22502.68,22724.96
2017/11/29,22613.96,22643.93,22537.12,22597.2
2017/11/28,22474.74,22580.99,22363.94,22486.24
2017/11/27,22657.08,22659.33,22423.4,22495.99
2017/11/24,22390.14,22567.2,22381.01,22550.85
2017/11/22,22601.55,22677.34,22513.44,22523.15
2017/11/21,22456.79,22563.25,22416.48,22416.48
2017/11/20,22279.98,22410.24,22215.07,22261.76
2017/11/17,22603.3,22757.4,22319.12,22396.8
2017/11/16,21975.23,22392.13,21972.34,22351.12
2017/11/15,22250.98,22305.24,22004.79,22028.32
2017/11/14,22342.93,22532.3,22323.24,22380.01
2017/11/13,22607.56,22607.92,22380.99,22380.99
2017/11/10,22580.7,22724.39,22511.93,22681.42
2017/11/9,22989.44,23382.15,22522.83,22868.71
2017/11/8,22849.91,22922.8,22759.07,22913.82
2017/11/7,22518.75,22953.18,22512.91,22937.6
2017/11/6,22612.96,22644.68,22435.34,22548.35
2017/11/2,22512.18,22540.25,22400.01,22539.12
2017/11/1,22144.92,22455.92,22130.03,22420.08
2017/10/31,21897.29,22020.38,21840.07,22011.61
2017/10/30,22047.95,22086.88,21921.24,22011.67
2017/10/27,21903.27,22016.5,21815.72,22008.45
2017/10/26,21698.95,21793.62,21688.56,21739.78
2017/10/25,21900.13,21921.36,21648.35,21707.62
2017/10/24,21670,21805.17,21646.52,21805.17
2017/10/23,21709.3,21723.6,21614.51,21696.65
2017/10/20,21390.95,21489.26,21363.1,21457.64
2017/10/19,21450.04,21503.85,21381.52,21448.52
2017/10/18,21374.66,21402.76,21317.67,21363.05
2017/10/17,21352.17,21393.96,21230.67,21336.12
2017/10/16,21221.27,21347.07,21187.93,21255.56
2017/10/13,20959.66,21211.29,20933,21155.18
2017/10/12,20958.18,20994.4,20917.04,20954.72
2017/10/11,20803.71,20898.41,20788.12,20881.27
2017/10/10,20680.54,20823.66,20663.08,20823.51
2017/10/6,20716.85,20721.15,20659.15,20690.71
2017/10/5,20650.71,20667.47,20602.26,20628.56
2017/10/4,20660.81,20689.08,20592.18,20626.66
2017/10/3,20475.25,20628.38,20438.17,20614.07
2017/10/2,20400.51,20411.33,20363.28,20400.78
2017/9/29,20315.34,20370.33,20285.06,20356.28
2017/9/28,20398.63,20399.87,20299.68,20363.11
2017/9/27,20269.82,20278.09,20213.66,20267.05
2017/9/26,20349.26,20385.5,20303.98,20330.19
2017/9/25,20439.43,20454.29,20367.03,20397.58
2017/9/22,20413.61,20417.07,20249.24,20296.45
2017/9/21,20456.5,20481.27,20332.69,20347.48
2017/9/20,20301.33,20339.37,20272.82,20310.46
2017/9/19,20128.18,20320.78,20122,20299.38
2017/9/15,19793.8,19933.4,19787.65,19909.5
2017/9/14,19860.37,19918.39,19793.85,19807.44
2017/9/13,19873.69,19888.84,19845.02,19865.82
2017/9/12,19736.14,19792.06,19718.8,19776.62
2017/9/11,19441.39,19567.03,19437.14,19545.77
2017/9/8,19297.96,19357.49,19239.52,19274.82
2017/9/7,19433.44,19482.72,19365.75,19396.52
2017/9/6,19286.06,19371.38,19254.67,19357.97
2017/9/5,19533.38,19542.78,19354.59,19385.81
2017/9/4,19615.96,19628.4,19479.4,19508.25
2017/9/1,19733.57,19735.96,19620.07,19691.47
2017/8/31,19591.32,19687.99,19583.11,19646.24
2017/8/30,19480.98,19538.23,19435.1,19506.54
2017/8/29,19319.11,19371.9,19280.02,19362.55
2017/8/28,19502.23,19535.5,19420.5,19449.9
2017/8/25,19401.12,19485.97,19384.37,19452.61
2017/8/24,19366.36,19428.55,19351.92,19353.77
2017/8/23,19547.05,19561.32,19408.47,19434.64
2017/8/22,19373.11,19437.25,19361.95,19383.84
2017/8/21,19509.53,19509.53,19365.65,19393.13
2017/8/18,19471.27,19543.13,19433.09,19470.41
2017/8/17,19707.75,19739.04,19679.37,19702.63
2017/8/16,19750.55,19776.86,19719.08,19729.28
2017/8/15,19689.38,19824.12,19656.91,19753.31
2017/8/14,19545.58,19598.41,19486.48,19537.1
2017/8/10,19792.45,19829.88,19685.83,19729.74
2017/8/9,19928.96,19945.28,19660.22,19738.71
2017/8/8,20062.65,20076.8,19970.57,19996.01
2017/8/7,20059.29,20085.9,20037.4,20055.89
2017/8/4,19949.79,19984.51,19933.59,19952.33
2017/8/3,20066,20070.16,19985.4,20029.26
2017/8/2,20057.07,20113.73,20022.05,20080.04
2017/8/1,19907.08,20000.46,19904.72,19985.79
2017/7/31,19933.45,19983.9,19891.9,19925.18
2017/7/28,20048.46,20056.16,19926.6,19959.84
2017/7/27,20026.58,20176.39,20005.2,20079.64
2017/7/26,20098.14,20116,20016.58,20050.16
2017/7/25,19979.56,20036.31,19941.61,19955.2
2017/7/24,19973.67,20002.54,19901.88,19975.67
2017/7/21,20089.86,20135.33,20081.91,20099.75
2017/7/20,20046.9,20157.11,20032.23,20144.59
2017/7/19,19970.78,20032.46,19947.26,20020.86
2017/7/18,20074.41,20081.29,19943.14,19999.91
2017/7/14,20157.92,20163.67,20101.71,20118.86
2017/7/13,20177.28,20183.8,20062.27,20099.81
2017/7/12,20137.22,20153.04,20061.16,20098.38
2017/7/11,20073.86,20200.88,20070.67,20195.48
2017/7/10,20070.44,20127.76,20023.03,20080.98
2017/7/7,19856.65,19979.93,19856.65,19929.09
2017/7/6,20061.68,20078.88,19947.63,19994.06
2017/7/5,20015.07,20087.01,19888.9,20081.63
2017/7/4,20192.27,20197.16,19971.53,20032.35
2017/7/3,20056.32,20096.14,20030.61,20055.8
2017/6/30,20025.63,20044.01,19946.51,20033.43
2017/6/29,20260.87,20266.59,20197.38,20220.3
2017/6/28,20149.2,20224.3,20110.49,20130.41
2017/6/27,20229.12,20250.1,20185.19,20225.09
2017/6/26,20132.81,20196.38,20119.04,20153.35
2017/6/23,20152.58,20152.58,20089.54,20132.67
2017/6/22,20154.38,20191.42,20107.89,20110.51
2017/6/21,20192.16,20215.11,20117.79,20138.79
2017/6/20,20234.12,20318.11,20227.29,20230.41
2017/6/19,19974.3,20087.71,19949.88,20067.75
2017/6/16,19931.15,20015.16,19884.8,19943.26
2017/6/15,19815.54,19963.36,19755.34,19831.82
2017/6/14,19974.56,20009.93,19879.6,19883.52
2017/6/13,19859.81,19929.03,19850.86,19898.75
2017/6/12,19920.77,19949.07,19837.64,19908.58
2017/6/9,19953.06,20096.01,19927.07,20013.26
2017/6/8,20048.28,20061.22,19896.35,19909.26
2017/6/7,19951.68,20023.24,19908.07,19984.62
2017/6/6,20122.26,20152.95,19948.02,19979.9
2017/6/5,20135.42,20224.54,20104.13,20170.82
2017/6/2,19970.23,20239.81,19967,20177.28
2017/6/1,19692.16,19887.66,19686.32,19860.03
2017/5/31,19630.33,19673.51,19589.25,19650.57
2017/5/30,19681.11,19691.44,19570.13,19677.85
2017/5/29,19697.18,19736.62,19627.19,19682.57
2017/5/26,19798.49,19801.59,19686.49,19686.84
2017/5/25,19737.21,19850.93,19720.12,19813.13
2017/5/24,19777.56,19782.81,19690.1,19742.98
2017/5/23,19647.74,19693.02,19585.54,19613.28
2017/5/22,19670.48,19722.93,19618.73,19678.28
2017/5/19,19591.41,19628.64,19497.29,19590.76
2017/5/18,19556.99,19601.53,19449.73,19553.86
2017/5/17,19806.78,19842.78,19764.63,19814.88
2017/5/16,19953.06,19998.49,19862.41,19919.82
2017/5/15,19753.46,19869.85,19740.63,19869.85
2017/5/12,19941.64,19941.64,19809.91,19883.9
2017/5/11,19943.95,19989.94,19906.35,19961.55
2017/5/10,19890.56,19938.53,19866.3,19900.09
2017/5/9,19915.64,19917.45,19838.71,19843
2017/5/8,19709.01,19929.48,19705.13,19895.7
2017/5/2,19335.72,19464.3,19335.02,19445.7
2017/5/1,19154.03,19311.21,19144.62,19310.52
